Row Labels,Sum of Cases,Sum of Deaths,CFR,WorldPop,WPPM,Cases/M,Deaths/M,Country ,urban,Popdens,Obesity_rate,Diabetes_prevalence,Old-age,Hypertension,Avg_temp,Tot_Rain,AQI
Togo,55,1,1.818181818,7425057,7.425057,7.407350543,0.135001036,,,,,,,,,,
Lao People's Democratic Republic,17867,215,1.203335759,1873919,1.873919,9534.56366,0.022549537,,,,,,,,,,
Trinidad and Tobago,2475,19,0.767676768,5193416,5.193416,476.564943,0.039868648,,,,,,,,,,
Suriname,1053,6,0.56980057,39039,0.039039,26973.02697,0.000222444,,,,,,,,,,
Cabo Verde,8377,45,0.53718515,2786651,2.786651,3006.117379,0.014969475,,,,,,,,,,
Sudan,16467,77,0.46760187,639321,0.639321,25757.01408,0.002989477,,,,,,,,,,
Saint Vincent and the Grenadines,2070,8,0.38647343,28915653,28.915653,71.58752389,0.111751316,,,,,,,,,,
Sao Tome and Principe,2847,11,0.386371619,521457,0.521457,5459.702334,0.002014762,,,,,,,,,,
Bahamas,274,1,0.364963504,21904983,21.904983,12.5085694,0.079945193,,,,,,,,,,
Réunion,1227,4,0.32599837,526748,0.526748,2329.387107,0.00171719,,,,,,,,,,
Mali,12579,40,0.317990301,42050,0.04205,299143.8763,0.000133715,,,,,,,,,,
Côte d'Ivoire,9110,27,0.296377607,368796,0.368796,24702.00328,0.001093029,,,,,,,,,,
Cambodia,16327,42,0.257242604,4614974,4.614974,3537.831416,0.011871679,,,,,,,,,,
Myanmar,5751,13,0.226047644,1298915,1.298915,4427.541448,0.002936167,,,,,,,,,,
Uruguay,885,2,0.225988701,316014,0.316014,2800.508838,0.000714156,,,,,,,,,,
Bhutan,3330,6,0.18018018,113131,0.113131,29434.9029,0.00020384,,,,,,,,,,
Jamaica,18643,33,0.177010138,36686,0.036686,508177.5064,6.49379E-05,,,,,,,,,,
Saint Kitts and Nevis,593,1,0.168634064,627859,0.627859,944.4795726,0.001058784,,,,,,,,,,
Saint Lucia,1847,3,0.162425555,4417,0.004417,418157.1202,7.17434E-06,,,,,,,,,,
Venezuela (Bolivarian Republic of),44880,71,0.158199643,32077072,32.077072,1399.130195,0.050745814,,,,,,,,,,
Puerto Rico,8632,10,0.115848007,53798084,53.798084,160.4518109,0.062324008,,,,,,,,,,
Dominica,1576,1,0.063451777,2530151,2.530151,622.8877249,0.001605426,,,,,,,,,,
Chad,1581,1,0.063251107,17501696,17.501696,90.33410248,0.011070016,,,,,,,,,,
Ethiopia,29243,17,0.05813357,287800,0.2878,101608.7561,0.000167308,,,,,,,,,,
Mauritius,9613,5,0.052012899,6850540,6.85054,1403.247043,0.003563164,,,,,,,,,,
Grenada,2272,1,0.044014085,25252722,25.252722,89.97049902,0.011114754,,,,,,,,,,
Martinique,55544,23,0.041408613,223804632,223.804632,248.1807436,0.092674394,,,,,,,,,,
French Guiana,29590,12,0.040554241,1937,0.001937,15276200.31,7.85536E-07,,,,,,,,,,
Afghanistan,7452,3,0.040257649,2103330,2.10333,3542.953317,0.000846751,,,,,,,,,,
Paraguay,611654,240,0.03923787,49481,0.049481,12361391.24,1.94153E-05,,,,,,,,,,
El Salvador,68589,23,0.033533074,5403021,5.403021,12694.56476,0.001811799,,,,,,,,,,
Viet Nam,75317,16,0.021243544,18024,0.018024,4178706.17,3.82894E-06,,,,,,,,,,
Guadeloupe,42983,9,0.020938511,6703799,6.703799,6411.737583,0.001403676,,,,,,,,,,
Saint Martin (French part),5081,1,0.019681165,,0,#DIV/0!,,,,,,,,,,,
